quic  ||10% ||200ms  
Normal Mode
instce||mode||url                 ||size(KB)  ||status||time      
quic  ||hnsk||www.example.org     ||1.5986328125||True  ||0.7892968654632568
instce||mode||url                 ||size(KB)  ||status||time      ||rtt_count ||fail_cnt  ||time_list
quic  ||rtt ||www.example.org     ||1.5986328125||True  ||0.34454951582301874||128       ||0         ||[40.979517698287964, 47.38480043411255, 46.88692283630371, 52.648508071899414, 44.66751456260681, 44.23985528945923, 43.092806577682495, 42.04751491546631, 44.38415837287903, 44.47277641296387, 46.859813928604126, 47.25598216056824, 43.45282745361328, 45.46694374084473, 47.115421533584595, 47.60418725013733, 49.01514172554016, 41.93663811683655, 45.89109444618225, 45.72645115852356, 43.28650259971619, 45.78769397735596, 46.467581272125244, 46.97940421104431, 45.27261137962341, 45.29058766365051, 45.64288401603699, 46.880730390548706, 44.686941385269165, 48.21991944313049, 49.79659724235535, 48.4214448928833, 45.35291838645935, 42.1112174987793, 41.49782657623291, 45.294341802597046, 44.54801559448242, 48.59551811218262, 47.42678618431091, 50.30540728569031, 44.738121509552, 44.453264236450195, 43.01120352745056, 43.80563926696777, 49.48215961456299, 43.405755281448364, 44.061203479766846, 43.22995209693909, 44.838016748428345, 47.15484595298767, 47.25153422355652, 44.68179893493652, 43.599220991134644, 46.43553018569946, 42.91164016723633, 49.49347400665283, 47.20374846458435, 47.73300814628601, 48.30163598060608, 47.51521134376526, 48.40141773223877, 46.78010630607605, 48.89855194091797, 44.49130415916443, 46.768131256103516, 43.39645576477051, 49.32014584541321, 41.61611366271973, 48.30180525779724, 44.300213098526, 48.81577730178833, 51.13941550254822, 46.311150550842285, 49.59910821914673, 44.57570147514343, 42.38220167160034, 45.47762322425842, 44.14240908622742, 46.808685064315796, 42.85071563720703, 46.865957260131836, 36.85238456726074, 37.52742028236389, 41.32174324989319, 40.1313955783844, 43.161155462265015, 40.883386850357056, 44.68392205238342, 42.12427377700806, 38.46172070503235, 39.095919132232666, 38.45946288108826, 40.15517807006836, 38.01725244522095, 41.58989500999451, 39.07547307014465, 41.72727560997009, 39.042545318603516, 43.900124311447144, 41.2319700717926, 40.74398708343506, 41.08409380912781, 40.29849553108215, 43.16282367706299, 43.70838022232056, 41.10490584373474, 40.85396885871887, 42.89522075653076, 38.55209684371948, 39.34194254875183, 39.259273290634155, 41.71288728713989, 38.2383918762207, 40.02421712875366, 42.067070722579956, 40.92145228385925, 48.95244288444519, 40.95216369628906, 42.15174746513367, 38.6146285533905, 44.79782319068909, 41.86086964607239, 41.408058404922485, 40.401599407196045, 41.119107246398926, 42.002840995788574, 40.921547651290894, 42.96097111701965]

mvfst ||10% ||200ms  
Normal Mode
instce||mode||url                 ||size(KB)  ||status||time      
mvfst ||hnsk||www.example.org     ||1.5986328125||True  ||0.45683765411376953
instce||mode||url                 ||size(KB)  ||status||time      ||rtt_count ||fail_cnt  ||time_list
mvfst ||rtt ||www.example.org     ||1.5986328125||True  ||0.053442848060512915||128       ||0         ||[6.3869309425354, 8.778205633163452, 7.070823907852173, 6.678391933441162, 10.171398401260376, 9.274973630905151, 7.561594724655151, 9.403141736984253, 8.337554454803467, 9.339405059814453, 5.5161449909210205, 5.452516794204712, 5.493706226348877, 5.405812740325928, 8.856784343719482, 7.957803249359131, 6.427667140960693, 5.55156397819519, 8.919060707092285, 9.748807191848755, 9.28274154663086, 8.603094577789307, 9.601535558700562, 4.7287657260894775, 4.542821407318115, 10.094066143035889, 6.325733423233032, 4.2370946407318115, 9.541853427886963, 6.978982448577881, 9.542539358139038, 8.897156476974487, 6.631048679351807, 6.2674806118011475, 8.367425680160522, 6.081729173660278, 6.976832628250122, 6.158475875854492, 7.445771217346191, 9.399965286254883, 5.66890025138855, 7.215495824813843, 7.5493693351745605, 6.6362998485565186, 5.416170358657837, 7.709792137145996, 6.197721719741821, 4.859975337982178, 4.552788496017456, 4.307257652282715, 6.227603435516357, 7.2346413135528564, 8.350799083709717, 11.41327953338623, 6.16794228553772, 8.296894073486328, 5.900011301040649, 5.537740707397461, 6.423745155334473, 6.168242454528809, 2.961493730545044, 8.20083737373352, 3.5691077709198, 7.552511930465698, 3.5284173488616943, 4.864909887313843, 9.060773372650146, 8.716347217559814, 6.591416358947754, 3.582750082015991, 8.140787124633789, 11.0027494430542, 7.7960524559021, 4.714728355407715, 7.374425649642944, 4.202406883239746, 7.464598178863525, 6.160493612289429, 7.276963472366333, 6.518945217132568, 10.365679740905762, 5.085778474807739, 8.2032151222229, 4.332229137420654, 3.6272523403167725, 8.784125089645386, 6.183311462402344, 6.320020437240601, 8.75373125076294, 8.764838695526123, 5.1926429271698, 5.5670671463012695, 4.221503973007202, 8.730313777923584, 9.695485353469849, 6.874152660369873, 5.413749933242798, 9.924649715423584, 7.119420766830444, 2.732922077178955, 8.70866584777832, 4.673919916152954, 6.263740539550781, 8.490684747695923, 9.00321364402771, 6.093627214431763, 3.0291221141815186, 8.05484414100647, 5.876588344573975, 4.579321384429932, 3.7078874111175537, 7.683159351348877, 8.407001256942749, 8.422440528869629, 5.432575941085815, 6.477216005325317, 5.636258125305176, 2.9521074295043945, 5.37027645111084, 6.251787424087524, 7.891531229019165, 3.733567714691162, 9.00009822845459, 10.253146171569824, 6.879521131515503, 3.5658769607543945, 4.356317758560181, 5.768248081207275]

quic  ||10% ||200ms  
